Indice;Fecha;Open;Close;Variacion_diaria;Descripcion
0;2021-03-30;57750.132813;58917.691406;1167.5585930000016;Sube
1;2021-03-31;58930.277344;58918.832031;-11.445313000003807;Baja
2;2021-04-01;58926.5625;59095.808594;169.2460940000019;Sube
3;2021-04-02;59098.878906;59384.3125;285.4335940000019;Sube
4;2021-04-03;59397.410156;57603.890625;-1793.519530999998;Baja
5;2021-04-04;57604.839844;58758.554688;1153.7148439999946;Sube
6;2021-04-05;58760.875;59057.878906;297.0039059999981;Sube
7;2021-04-06;59171.933594;58192.359375;-979.5742190000019;Baja
8;2021-04-07;58186.507813;56048.9375;-2137.5703129999965;Baja
9;2021-04-08;56099.914063;58323.953125;2224.0390620000035;Sube
10;2021-04-09;58326.5625;58245.003906;-81.5585940000019;Baja
11;2021-04-10;58253.777344;59793.234375;1539.457030999998;Sube
12;2021-04-11;59846.230469;60204.964844;358.734375;Sube
13;2021-04-12;60175.945313;59893.453125;-282.49218799999653;Baja
14;2021-04-13;59890.019531;63503.457031;3613.4375;Sube
15;2021-04-14;63523.753906;63109.695313;-414.05859300000157;Baja
16;2021-04-15;63075.195313;63314.011719;238.81640600000537;Sube
17;2021-04-16;63258.503906;61572.789063;-1685.7148430000016;Baja
18;2021-04-17;61529.921875;60683.820313;-846.1015620000035;Baja
19;2021-04-18;60701.886719;56216.183594;-4485.703125;Baja
20;2021-04-19;56191.585938;55724.265625;-467.32031299999653;Baja
21;2021-04-20;55681.792969;56473.03125;791.2382809999981;Sube
22;2021-04-21;56471.128906;53906.089844;-2565.039061999996;Baja
23;2021-04-22;53857.105469;51762.273438;-2094.8320310000054;Baja
24;2021-04-23;51739.808594;51093.652344;-646.15625;Baja
25;2021-04-24;51143.226563;50050.867188;-1092.359375;Baja
26;2021-04-25;50052.832031;49004.253906;-1048.578125;Baja
27;2021-04-26;49077.792969;54021.753906;4943.960936999996;Sube
28;2021-04-27;54030.304688;55033.117188;1002.8125;Sube
29;2021-04-28;55036.636719;54824.703125;-211.9335940000019;Baja
30;2021-04-29;54858.089844;53555.109375;-1302.980469000002;Baja
31;2021-04-30;53568.664063;57750.175781;4181.511718000002;Sube
32;2021-05-01;57714.664063;57828.050781;113.38671800000157;Sube
33;2021-05-02;57825.863281;56631.078125;-1194.785155999998;Baja
34;2021-05-03;56620.273438;57200.292969;580.0195310000054;Sube
35;2021-05-04;57214.179688;53333.539063;-3880.640625;Baja
36;2021-05-05;53252.164063;57424.007813;4171.84375;Sube
37;2021-05-06;57441.308594;56396.515625;-1044.792969000002;Baja
38;2021-05-07;56413.953125;57356.402344;942.4492190000019;Sube
39;2021-05-08;57352.765625;58803.777344;1451.011719000002;Sube
40;2021-05-09;58877.390625;58232.316406;-645.0742190000019;Baja
41;2021-05-10;58250.871094;55859.796875;-2391.074219000002;Baja
42;2021-05-11;55847.242188;56704.574219;857.3320310000054;Sube
43;2021-05-12;56714.53125;49150.535156;-7563.996094000002;Baja
44;2021-05-13;49735.433594;49716.191406;-19.242188000003807;Baja
45;2021-05-14;49682.980469;49880.535156;197.5546869999962;Sube
46;2021-05-15;49855.496094;46760.1875;-3095.308594000002;Baja
47;2021-05-16;46716.636719;46456.058594;-260.578125;Baja
48;2021-05-17;46415.898438;43537.511719;-2878.3867189999946;Baja
49;2021-05-18;43488.058594;42909.402344;-578.65625;Baja
50;2021-05-19;42944.976563;37002.441406;-5942.535156999998;Baja
51;2021-05-20;36753.667969;40782.738281;4029.070311999996;Sube
52;2021-05-21;40596.949219;37304.691406;-3292.257813000004;Baja
53;2021-05-22;37371.03125;37536.632813;165.60156299999653;Sube
54;2021-05-23;37531.449219;34770.582031;-2760.867188000004;Baja
55;2021-05-24;34700.363281;38705.980469;4005.617188000004;Sube
56;2021-05-25;38795.78125;38402.222656;-393.5585940000019;Baja
57;2021-05-26;38392.625;39294.199219;901.5742190000019;Sube
58;2021-05-27;39316.890625;38436.96875;-879.921875;Baja
59;2021-05-28;38507.082031;35697.605469;-2809.476561999996;Baja
60;2021-05-29;35684.15625;34616.066406;-1068.089844000002;Baja
61;2021-05-30;34607.40625;35678.128906;1070.722655999998;Sube
62;2021-05-31;35658.59375;37332.855469;1674.261719000002;Sube
63;2021-06-01;37293.792969;36684.925781;-608.8671880000038;Baja
64;2021-06-02;36699.921875;37575.179688;875.2578129999965;Sube
65;2021-06-03;37599.410156;39208.765625;1609.355469000002;Sube
66;2021-06-04;39242.484375;36894.40625;-2348.078125;Baja
67;2021-06-05;36880.15625;35551.957031;-1328.199219000002;Baja
68;2021-06-06;35538.609375;35862.378906;323.7695309999981;Sube
69;2021-06-07;35835.265625;33560.707031;-2274.558594000002;Baja
70;2021-06-08;33589.519531;33472.632813;-116.88671800000157;Baja
71;2021-06-09;33416.976563;37345.121094;3928.1445310000054;Sube
72;2021-06-10;37389.515625;36702.597656;-686.9179690000019;Baja
73;2021-06-11;36697.03125;37334.398438;637.3671879999965;Sube
74;2021-06-12;37340.144531;35552.515625;-1787.628905999998;Baja
75;2021-06-13;35555.789063;39097.859375;3542.0703120000035;Sube
76;2021-06-14;39016.96875;40218.476563;1201.5078129999965;Sube
77;2021-06-15;40427.167969;40406.269531;-20.898438000003807;Baja
78;2021-06-16;40168.691406;38347.0625;-1821.628905999998;Baja
79;2021-06-17;38341.421875;38053.503906;-287.9179690000019;Baja
80;2021-06-18;38099.476563;35787.246094;-2312.2304689999946;Baja
81;2021-06-19;35854.527344;35615.871094;-238.65625;Baja
82;2021-06-20;35563.140625;35698.296875;135.15625;Sube
83;2021-06-21;35641.144531;31676.693359;-3964.4511719999973;Baja
84;2021-06-22;31622.376953;32505.660156;883.2832030000027;Sube
85;2021-06-23;32515.714844;33723.027344;1207.3125000000036;Sube
86;2021-06-24;33682.800781;34662.4375;979.6367190000019;Sube
87;2021-06-25;34659.105469;31637.779297;-3021.326172000001;Baja
88;2021-06-26;31594.664063;32186.277344;591.6132809999981;Sube
89;2021-06-27;32287.523438;34649.644531;2362.121092999998;Sube
90;2021-06-28;34679.121094;34434.335938;-244.78515600000537;Baja
91;2021-06-29;34475.558594;35867.777344;1392.21875;Sube
92;2021-06-30;35908.386719;35040.835938;-867.5507810000054;Baja
93;2021-07-01;35035.984375;33572.117188;-1463.8671870000035;Baja
94;2021-07-02;33549.601563;33897.046875;347.44531200000347;Sube
95;2021-07-03;33854.421875;34668.546875;814.125;Sube
96;2021-07-04;34665.566406;35287.78125;622.2148440000019;Sube
97;2021-07-05;35284.34375;33746.003906;-1538.339844000002;Baja
98;2021-07-06;33723.507813;34235.195313;511.6875;Sube
99;2021-07-07;34225.679688;33855.328125;-370.35156299999653;Baja
100;2021-07-08;33889.605469;32877.371094;-1012.234375;Baja
101;2021-07-09;32861.671875;33798.011719;936.3398440000019;Sube
102;2021-07-10;33811.242188;33520.519531;-290.72265699999843;Baja
103;2021-07-11;33509.078125;34240.1875;731.109375;Sube
104;2021-07-12;34254.015625;33155.847656;-1098.167969000002;Baja
105;2021-07-13;33125.46875;32702.025391;-423.4433590000008;Baja
106;2021-07-14;32723.845703;32822.347656;98.50195299999905;Sube
107;2021-07-15;32827.875;31780.730469;-1047.1445310000017;Baja
108;2021-07-16;31841.550781;31421.539063;-420.01171800000157;Baja
109;2021-07-17;31397.308594;31533.068359;135.75976500000252;Sube
110;2021-07-18;31533.884766;31796.810547;262.92578100000173;Sube
111;2021-07-19;31800.011719;30817.832031;-982.1796879999965;Baja
112;2021-07-20;30838.285156;29807.347656;-1030.9375;Baja
113;2021-07-21;29796.285156;32110.693359;2314.408202999999;Sube
114;2021-07-22;32138.873047;32313.105469;174.2324219999973;Sube
115;2021-07-23;32305.958984;33581.550781;1275.5917969999973;Sube
116;2021-07-24;33593.730469;34292.445313;698.7148439999946;Sube
117;2021-07-25;34290.292969;35350.1875;1059.894530999998;Sube
118;2021-07-26;35384.03125;37337.535156;1953.503905999998;Sube
119;2021-07-27;37276.035156;39406.941406;2130.90625;Sube
120;2021-07-28;39503.1875;39995.90625;492.71875;Sube
121;2021-07-29;39995.453125;40008.421875;12.96875;Sube
122;2021-07-30;40027.484375;42235.546875;2208.0625;Sube
123;2021-07-31;42196.304688;41626.195313;-570.109375;Baja
124;2021-08-01;41460.84375;39974.894531;-1485.949219000002;Baja
125;2021-08-02;39907.261719;39201.945313;-705.3164060000054;Baja
126;2021-08-03;39178.402344;38152.980469;-1025.421875;Baja
127;2021-08-04;38213.332031;39747.503906;1534.171875;Sube
128;2021-08-05;39744.515625;40869.554688;1125.0390629999965;Sube
129;2021-08-06;40865.867188;42816.5;1950.6328120000035;Sube
130;2021-08-07;42832.796875;44555.800781;1723.003905999998;Sube
131;2021-08-08;44574.4375;43798.117188;-776.3203120000035;Baja
132;2021-08-09;43791.925781;46365.402344;2573.476563000004;Sube
133;2021-08-10;46280.847656;45585.03125;-695.8164059999981;Baja
134;2021-08-11;45599.703125;45593.636719;-6.066405999998096;Baja
135;2021-08-12;45576.878906;44428.289063;-1148.5898430000016;Baja
136;2021-08-13;44439.691406;47793.320313;3353.6289069999984;Sube
137;2021-08-14;47810.6875;47096.945313;-713.7421870000035;Baja
138;2021-08-15;47096.667969;47047.003906;-49.66406300000381;Baja
139;2021-08-16;47019.960938;46004.484375;-1015.4765629999965;Baja
140;2021-08-17;45936.457031;44695.359375;-1241.097655999998;Baja
141;2021-08-18;44686.75;44801.1875;114.4375;Sube
142;2021-08-19;44741.882813;46717.578125;1975.6953120000035;Sube
143;2021-08-20;46723.121094;49339.175781;2616.054686999996;Sube
144;2021-08-21;49327.074219;48905.492188;-421.5820310000054;Baja
145;2021-08-22;48869.105469;49321.652344;452.546875;Sube
146;2021-08-23;49291.675781;49546.148438;254.47265699999843;Sube
147;2021-08-24;49562.347656;47706.117188;-1856.2304680000016;Baja
148;2021-08-25;47727.257813;48960.789063;1233.53125;Sube
149;2021-08-26;49002.640625;46942.21875;-2060.421875;Baja
150;2021-08-27;46894.554688;49058.667969;2164.1132810000054;Sube
151;2021-08-28;49072.585938;48902.402344;-170.18359399999463;Baja
152;2021-08-29;48911.25;48829.832031;-81.4179690000019;Baja
153;2021-08-30;48834.851563;47054.984375;-1779.8671879999965;Baja
154;2021-08-31;47024.339844;47166.6875;142.3476559999981;Sube
155;2021-09-01;47099.773438;48847.027344;1747.2539060000054;Sube
156;2021-09-02;48807.847656;49327.722656;519.875;Sube
157;2021-09-03;49288.25;50025.375;737.125;Sube
158;2021-09-04;50009.324219;49944.625;-64.6992190000019;Baja
159;2021-09-05;49937.859375;51753.410156;1815.550780999998;Sube
160;2021-09-06;51769.003906;52633.535156;864.53125;Sube
161;2021-09-07;52660.480469;46811.128906;-5849.351563000004;Baja
162;2021-09-08;46827.761719;46091.390625;-736.3710940000019;Baja
163;2021-09-09;45774.742188;46391.421875;616.6796870000035;Sube
164;2021-09-10;46396.664063;44883.910156;-1512.7539069999984;Baja
165;2021-09-11;44869.839844;45201.457031;331.6171869999962;Sube
166;2021-09-12;45206.628906;46063.269531;856.640625;Sube
167;2021-09-13;46057.214844;44963.074219;-1094.140625;Baja
168;2021-09-14;44960.050781;47092.492188;2132.4414069999984;Sube
169;2021-09-15;47098.0;48176.347656;1078.347655999998;Sube
170;2021-09-16;48158.90625;47783.359375;-375.546875;Baja
171;2021-09-17;47771.003906;47267.519531;-503.484375;Baja
172;2021-09-18;47273.527344;48278.363281;1004.8359369999962;Sube
173;2021-09-19;48268.855469;47260.21875;-1008.6367190000019;Baja
174;2021-09-20;47261.40625;42843.800781;-4417.605469000002;Baja
175;2021-09-21;43012.234375;40693.675781;-2318.558594000002;Baja
176;2021-09-22;40677.953125;43574.507813;2896.5546879999965;Sube
177;2021-09-23;43560.296875;44895.097656;1334.800780999998;Sube
178;2021-09-24;44894.300781;42839.75;-2054.550780999998;Baja
179;2021-09-25;42840.890625;42716.59375;-124.296875;Baja
180;2021-09-26;42721.628906;43208.539063;486.91015699999843;Sube
181;2021-09-27;43234.183594;42235.730469;-998.453125;Baja
182;2021-09-28;42200.898438;41034.542969;-1166.3554689999946;Baja
183;2021-09-29;41064.984375;41564.363281;499.3789059999981;Sube
184;2021-09-30;41551.269531;43790.894531;2239.625;Sube
185;2021-10-01;43816.742188;48116.941406;4300.199218000002;Sube
186;2021-10-02;48137.46875;47711.488281;-425.9804690000019;Baja
187;2021-10-03;47680.027344;48199.953125;519.9257809999981;Sube
188;2021-10-04;48208.90625;49112.902344;903.9960940000019;Sube
189;2021-10-05;49174.960938;51514.8125;2339.8515620000035;Sube
190;2021-10-06;51486.664063;55361.449219;3874.7851560000054;Sube
191;2021-10-07;55338.625;53805.984375;-1532.640625;Baja
192;2021-10-08;53802.144531;53967.847656;165.703125;Sube
193;2021-10-09;53929.78125;54968.222656;1038.441405999998;Sube
194;2021-10-10;54952.820313;54771.578125;-181.24218799999653;Baja
195;2021-10-11;54734.125;57484.789063;2750.6640629999965;Sube
196;2021-10-12;57526.832031;56041.058594;-1485.7734369999962;Baja
197;2021-10-13;56038.257813;57401.097656;1362.8398430000016;Sube
198;2021-10-14;57372.832031;57321.523438;-51.308593000001565;Baja
199;2021-10-15;57345.902344;61593.949219;4248.046875;Sube
200;2021-10-16;61609.527344;60892.179688;-717.3476560000054;Baja
201;2021-10-17;60887.652344;61553.617188;665.9648439999946;Sube
202;2021-10-18;61548.804688;62026.078125;477.27343700000347;Sube
203;2021-10-19;62043.164063;64261.992188;2218.828125;Sube
204;2021-10-20;64284.585938;65992.835938;1708.2500000000073;Sube
205;2021-10-21;66002.234375;62210.171875;-3792.0625;Baja
206;2021-10-22;62237.890625;60692.265625;-1545.625;Baja
207;2021-10-23;60694.628906;61393.617188;698.9882819999984;Sube
208;2021-10-24;61368.34375;60930.835938;-437.50781200000347;Baja
209;2021-10-25;60893.925781;63039.824219;2145.898438000004;Sube
210;2021-10-26;63032.761719;60363.792969;-2668.96875;Baja
211;2021-10-27;60352.0;58482.386719;-1869.613280999998;Baja
212;2021-10-28;58470.730469;60622.136719;2151.40625;Sube
213;2021-10-29;60624.871094;62227.964844;1603.09375;Sube
214;2021-10-30;62239.363281;61888.832031;-350.53125;Baja
215;2021-10-31;61850.488281;61318.957031;-531.53125;Baja
216;2021-11-01;61320.449219;61004.40625;-316.0429690000019;Baja
217;2021-11-02;60963.253906;63226.402344;2263.148438000004;Sube
218;2021-11-03;63254.335938;62970.046875;-284.28906299999653;Baja
219;2021-11-04;62941.804688;61452.230469;-1489.5742189999946;Baja
220;2021-11-05;61460.078125;61125.675781;-334.4023440000019;Baja
221;2021-11-06;61068.875;61527.480469;458.6054690000019;Sube
222;2021-11-07;61554.921875;63326.988281;1772.066405999998;Sube
223;2021-11-08;63344.066406;67566.828125;4222.761719000002;Sube
224;2021-11-09;67549.734375;66971.828125;-577.90625;Baja
225;2021-11-10;66953.335938;64995.230469;-1958.105469000002;Baja
226;2021-11-11;64978.890625;64949.960938;-28.92968700000347;Baja
227;2021-11-12;64863.980469;64155.941406;-708.0390630000038;Baja
228;2021-11-13;64158.121094;64469.527344;311.40625;Sube
229;2021-11-14;64455.371094;65466.839844;1011.46875;Sube
230;2021-11-15;65521.289063;63557.871094;-1963.4179689999946;Baja
231;2021-11-16;63721.195313;60161.246094;-3559.9492189999946;Baja
232;2021-11-17;60139.621094;60368.011719;228.390625;Sube
233;2021-11-18;60360.136719;56942.136719;-3418.0;Baja
234;2021-11-19;56896.128906;58119.578125;1223.449219000002;Sube
235;2021-11-20;58115.082031;59697.195313;1582.1132819999984;Sube
236;2021-11-21;59730.507813;58730.476563;-1000.03125;Baja
237;2021-11-22;58706.847656;56289.289063;-2417.5585930000016;Baja
238;2021-11-23;56304.554688;57569.074219;1264.5195310000054;Sube
239;2021-11-24;57565.851563;56280.425781;-1285.4257819999984;Baja
240;2021-11-25;57165.417969;57274.679688;109.26171899999463;Sube
241;2021-11-26;58960.285156;53569.765625;-5390.519530999998;Baja
242;2021-11-27;53736.429688;54815.078125;1078.6484370000035;Sube
243;2021-11-28;54813.023438;57248.457031;2435.4335930000016;Sube
244;2021-11-29;57291.90625;57806.566406;514.6601559999981;Sube
245;2021-11-30;57830.113281;57005.425781;-824.6875;Baja
246;2021-12-01;56907.964844;57229.828125;321.8632809999981;Sube
247;2021-12-02;57217.371094;56477.816406;-739.5546880000038;Baja
248;2021-12-03;56509.164063;53598.246094;-2910.9179689999946;Baja
249;2021-12-04;53727.878906;49200.703125;-4527.175780999998;Baja
250;2021-12-05;49201.519531;49368.847656;167.328125;Sube
251;2021-12-06;49413.480469;50582.625;1169.144530999998;Sube
252;2021-12-07;50581.828125;50700.085938;118.25781299999653;Sube
253;2021-12-08;50667.648438;50504.796875;-162.85156299999653;Baja
254;2021-12-09;50450.082031;47672.121094;-2777.960936999996;Baja
255;2021-12-10;47642.144531;47243.304688;-398.83984300000157;Baja
256;2021-12-11;47264.632813;49362.507813;2097.875;Sube
257;2021-12-12;49354.855469;50098.335938;743.4804689999946;Sube
258;2021-12-13;50114.742188;46737.480469;-3377.2617189999946;Baja
259;2021-12-14;46709.824219;46612.632813;-97.19140600000537;Baja
260;2021-12-15;48379.753906;48896.722656;516.96875;Sube
261;2021-12-16;48900.464844;47665.425781;-1235.0390630000038;Baja
262;2021-12-17;47653.730469;46202.144531;-1451.5859380000038;Baja
263;2021-12-18;46219.253906;46848.777344;629.5234380000038;Sube
264;2021-12-19;46853.867188;46707.015625;-146.85156299999653;Baja
265;2021-12-20;46707.0625;46880.277344;173.2148440000019;Sube
266;2021-12-21;46886.078125;48936.613281;2050.535155999998;Sube
267;2021-12-22;48937.097656;48628.511719;-308.5859369999962;Baja
268;2021-12-23;48626.34375;50784.539063;2158.1953129999965;Sube
269;2021-12-24;50806.050781;50822.195313;16.144531999998435;Sube
270;2021-12-25;50854.917969;50429.859375;-425.0585940000019;Baja
271;2021-12-26;50428.691406;50809.515625;380.8242190000019;Sube
272;2021-12-27;50802.609375;50640.417969;-162.1914059999981;Baja
273;2021-12-28;50679.859375;47588.855469;-3091.003905999998;Baja
274;2021-12-29;47623.871094;46444.710938;-1179.1601560000054;Baja
275;2021-12-30;46490.605469;47178.125;687.5195309999981;Sube
276;2021-12-31;47169.371094;46306.445313;-862.9257810000054;Baja
277;2022-01-01;46311.746094;47686.8125;1375.066405999998;Sube
278;2022-01-02;47680.925781;47345.21875;-335.7070309999981;Baja
279;2022-01-03;47343.542969;46458.117188;-885.4257810000054;Baja
280;2022-01-04;46458.851563;45897.574219;-561.2773439999946;Baja
281;2022-01-05;45899.359375;43569.003906;-2330.355469000002;Baja
282;2022-01-06;43565.511719;43160.929688;-404.5820310000054;Baja
283;2022-01-07;43153.570313;41557.902344;-1595.6679689999946;Baja
284;2022-01-08;41561.464844;41733.941406;172.4765619999962;Sube
285;2022-01-09;41734.726563;41911.601563;176.875;Sube
286;2022-01-10;41910.230469;41821.261719;-88.96875;Baja
287;2022-01-11;41819.507813;42735.855469;916.3476560000054;Sube
288;2022-01-12;42742.179688;43949.101563;1206.921875;Sube
289;2022-01-13;43946.742188;42591.570313;-1355.171875;Baja
290;2022-01-14;42598.871094;43099.699219;500.828125;Sube
291;2022-01-15;43101.898438;43177.398438;75.5;Sube
292;2022-01-16;43172.039063;43113.878906;-58.160156999998435;Baja
293;2022-01-17;43118.121094;42250.550781;-867.5703130000038;Baja
294;2022-01-18;42250.074219;42375.632813;125.55859399999463;Sube
295;2022-01-19;42374.039063;41744.328125;-629.7109379999965;Baja
296;2022-01-20;41744.027344;40680.417969;-1063.609375;Baja
297;2022-01-21;40699.605469;36457.316406;-4242.289063000004;Baja
298;2022-01-22;36471.589844;35030.25;-1441.339844000002;Baja
299;2022-01-23;35047.359375;36276.804688;1229.4453129999965;Sube
300;2022-01-24;36275.734375;36654.328125;378.59375;Sube
301;2022-01-25;36654.804688;36954.003906;299.19921800000157;Sube
302;2022-01-26;36950.515625;36852.121094;-98.3945309999981;Baja
303;2022-01-27;36841.878906;37138.234375;296.3554690000019;Sube
304;2022-01-28;37128.445313;37784.332031;655.8867180000016;Sube
305;2022-01-29;37780.714844;38138.179688;357.4648439999946;Sube
306;2022-01-30;38151.917969;37917.601563;-234.31640600000537;Baja
307;2022-01-31;37920.28125;38483.125;562.84375;Sube
308;2022-02-01;38481.765625;38743.273438;261.50781299999653;Sube
309;2022-02-02;38743.714844;36952.984375;-1790.730469000002;Baja
310;2022-02-03;36944.804688;37154.601563;209.796875;Sube
311;2022-02-04;37149.265625;41500.875;4351.609375;Sube
312;2022-02-05;41501.480469;41441.164063;-60.31640600000537;Baja
313;2022-02-06;41441.121094;42412.433594;971.3125;Sube
314;2022-02-07;42406.78125;43840.285156;1433.503905999998;Sube
315;2022-02-08;43854.652344;44118.445313;263.7929689999946;Sube
316;2022-02-09;44096.703125;44338.796875;242.09375;Sube
317;2022-02-10;44347.800781;43565.113281;-782.6875;Baja
318;2022-02-11;43571.128906;42407.9375;-1163.191405999998;Baja
319;2022-02-12;42412.300781;42244.46875;-167.8320309999981;Baja
320;2022-02-13;42236.566406;42197.515625;-39.050780999998096;Baja
321;2022-02-14;42157.398438;42586.917969;429.5195310000054;Sube
322;2022-02-15;42586.464844;44575.203125;1988.738280999998;Sube
323;2022-02-16;44578.277344;43961.859375;-616.4179690000019;Baja
324;2022-02-17;43937.070313;40538.011719;-3399.0585939999946;Baja
325;2022-02-18;40552.132813;40030.976563;-521.15625;Baja
326;2022-02-19;40026.023438;40122.15625;96.13281200000347;Sube
327;2022-02-20;40118.101563;38431.378906;-1686.7226569999984;Baja
328;2022-02-21;38423.210938;37075.28125;-1347.9296879999965;Baja
329;2022-02-22;37068.769531;38286.027344;1217.2578130000038;Sube
330;2022-02-23;38285.28125;37296.570313;-988.7109370000035;Baja
331;2022-02-24;37278.566406;38332.609375;1054.042969000002;Sube
332;2022-02-25;38333.746094;39214.21875;880.4726559999981;Sube
333;2022-02-26;39213.082031;39105.148438;-107.93359300000157;Baja
334;2022-02-27;39098.699219;37709.785156;-1388.9140630000038;Baja
335;2022-02-28;37706.0;43193.234375;5487.234375;Sube
336;2022-03-01;43194.503906;44354.636719;1160.1328130000038;Sube
337;2022-03-02;44357.617188;43924.117188;-433.5;Baja
338;2022-03-03;43925.195313;42451.789063;-1473.40625;Baja
339;2022-03-04;42458.140625;39137.605469;-3320.535155999998;Baja
340;2022-03-05;39148.449219;39400.585938;252.13671899999463;Sube
341;2022-03-06;39404.199219;38419.984375;-984.2148440000019;Baja
342;2022-03-07;38429.304688;38062.039063;-367.265625;Baja
343;2022-03-08;38059.902344;38737.269531;677.3671869999962;Sube
344;2022-03-09;38742.816406;41982.925781;3240.109375;Sube
345;2022-03-10;41974.070313;39437.460938;-2536.609375;Baja
346;2022-03-11;39439.96875;38794.972656;-644.9960940000019;Baja
347;2022-03-12;38794.464844;38904.011719;109.546875;Sube
348;2022-03-13;38884.726563;37849.664063;-1035.0625;Baja
349;2022-03-14;37846.316406;39666.753906;1820.4375;Sube
350;2022-03-15;39664.25;39338.785156;-325.4648440000019;Baja
351;2022-03-16;39335.570313;41143.929688;1808.359375;Sube
352;2022-03-17;41140.84375;40951.378906;-189.4648440000019;Baja
353;2022-03-18;40944.839844;41801.15625;856.3164059999981;Sube
354;2022-03-19;41794.648438;42190.652344;396.0039060000054;Sube
355;2022-03-20;42191.40625;41247.824219;-943.5820309999981;Baja
356;2022-03-21;41246.132813;41077.996094;-168.13671899999463;Baja
357;2022-03-22;41074.105469;42358.808594;1284.703125;Sube
358;2022-03-23;42364.378906;42892.957031;528.578125;Sube
359;2022-03-24;42886.652344;43960.933594;1074.28125;Sube
360;2022-03-25;43964.546875;44348.730469;384.1835940000019;Sube
361;2022-03-26;44349.859375;44500.828125;150.96875;Sube
362;2022-03-27;44505.355469;46820.492188;2315.1367189999946;Sube
363;2022-03-28;46821.851563;47128.003906;306.15234300000157;Sube
364;2022-03-29;47100.4375;47465.730469;365.2929690000019;Sube
365;2022-03-30;47375.777344;47199.292969;-176.484375;Baja
