Fecha analizada	  Comportamiento de la accion	abs Diferencia Close-Open
2021-04-26	Baja	1.0900120000000015
2021-04-27	Baja	0.5800020000000075
2021-04-28	Baja	0.8800050000000113
2021-04-29	Sube	2.300003000000004
2021-04-30	Baja	1.4199979999999925
2021-05-03	Sube	1.6100009999999827
2021-05-04	Sube	2.9400019999999927
2021-05-05	Baja	0.4299929999999961
2021-05-06	Sube	0.9500119999999868
2021-05-07	Sube	0.1999969999999962
2021-05-10	Sube	0.3700100000000077
2021-05-11	Baja	1.7699889999999812
2021-05-12	Baja	0.3399960000000135
2021-05-13	Sube	2.990005999999994
2021-05-14	Baja	1.2599950000000035
2021-05-17	Baja	0.009995000000003529
2021-05-18	Sube	0.47000099999999634
2021-05-19	Sube	0.16999800000002097
2021-05-20	Sube	1.1300050000000113
2021-05-21	Baja	0.36999500000001717
2021-05-24	Baja	0.3499909999999886
2021-05-25	Baja	0.5899959999999851
2021-05-26	Baja	0.9299929999999961
2021-05-27	Baja	0.4499969999999962
2021-05-28	Baja	0.27000400000000013
2021-06-01	Baja	4.619994999999989
2021-06-02	Sube	0.8999939999999924
2021-06-03	Sube	0.14999400000002083
2021-06-04	Baja	1.0399940000000072
2021-06-07	Baja	1.1600039999999865
2021-06-08	Baja	1.8900000000000148
2021-06-09	Sube	1.599991000000017
2021-06-10	Sube	1.0800020000000075
2021-06-11	Baja	2.1100000000000136
2021-06-14	Sube	0.8699949999999887
2021-06-15	Baja	0.7399910000000034
2021-06-16	Baja	0.3700100000000077
2021-06-17	Sube	1.0299990000000037
2021-06-18	Baja	1.2900080000000003
2021-06-21	Sube	1.0699920000000134
2021-06-22	Baja	0.09001200000000154
2021-06-23	Baja	1.0599969999999814
2021-06-24	Sube	0.09999099999998862
2021-06-25	Sube	1.2700049999999976
2021-06-28	Baja	0.41999799999999254
2021-06-29	Sube	0.02999900000000366
2021-06-30	Sube	0.7400049999999965
2021-07-01	Sube	1.2200019999999938
2021-07-02	Sube	2.9599919999999997
2021-07-06	Sube	0.05999700000000985
2021-07-07	Sube	1.9300079999999866
2021-07-08	Sube	0.38000500000001125
2021-07-09	Sube	0.38000500000001125
2021-07-12	Baja	0.25
2021-07-13	Sube	0.3000030000000038
2021-07-14	Sube	0.41999799999999254
2021-07-15	Baja	0.930008000000015
2021-07-16	Baja	0.23999000000000592
2021-07-19	Sube	0.4000090000000114
2021-07-20	Sube	1.5500030000000038
2021-07-21	Sube	0.19000199999999268
2021-07-22	Sube	0.6199949999999887
2021-07-23	Sube	0.7899930000000097
2021-07-26	Sube	0.04998799999998482
2021-07-27	Sube	0.8600009999999827
2021-07-28	Baja	0.5500030000000038
2021-07-29	Baja	0.5600120000000004
2021-07-30	Baja	0.3399960000000135
2021-08-02	Baja	0.1999969999999962
2021-08-03	Sube	1.660002999999989
2021-08-04	Baja	0.8399959999999851
2021-08-05	Baja	0.1600040000000149
2021-08-06	Baja	0.8300009999999816
2021-08-09	Baja	0.009994000000006054
2021-08-10	Sube	0.5100089999999966
2021-08-11	Baja	0.4499969999999962
2021-08-12	Sube	1.3799899999999923
2021-08-13	Sube	0.9600069999999903
2021-08-16	Sube	1.2899930000000097
2021-08-17	Sube	2.160002999999989
2021-08-18	Baja	2.3099980000000073
2021-08-19	Sube	1.9500120000000152
2021-08-20	Sube	0.5500030000000038
2021-08-23	Baja	0.7799979999999778
2021-08-24	Baja	1.6000060000000076
2021-08-25	Baja	1.4600059999999928
2021-08-26	Baja	0.6499939999999924
2021-08-27	Baja	1.3500060000000076
2021-08-30	Sube	0.8700109999999768
2021-08-31	Baja	0.3599999999999852
2021-09-01	Sube	0.8400110000000041
2021-09-02	Sube	0.5899969999999826
2021-09-03	Baja	0.060012999999997874
2021-09-07	Baja	2.0299990000000037
2021-09-08	Sube	0.27999900000000366
2021-09-09	Baja	3.1199949999999887
2021-09-10	Baja	1.5800020000000075
2021-09-13	Baja	2.1199949999999887
2021-09-14	Baja	1.5999909999999886
2021-09-15	Sube	0.41999799999999254
2021-09-16	Baja	0.4299929999999961
2021-09-17	Sube	0.4499969999999962
2021-09-20	Sube	0.33000200000000746
2021-09-21	Baja	0.08000200000000746
2021-09-22	Baja	1.4200130000000115
2021-09-23	Sube	0.4600070000000187
2021-09-24	Baja	0.3899989999999889
2021-09-27	Baja	0.8300020000000075
2021-09-28	Baja	0.29000800000000027
2021-09-29	Sube	1.0200040000000001
2021-09-30	Baja	3.139998999999989
2021-10-01	Baja	1.0599980000000073
2021-10-04	Baja	0.7700040000000001
2021-10-05	Baja	0.27999900000000366
2021-10-06	Sube	0.04000899999999774
2021-10-07	Sube	1.3199920000000134
2021-10-08	Baja	0.39001400000000785
2021-10-11	Baja	0.6100010000000111
2021-10-12	Baja	2.3099980000000073
2021-10-13	Sube	1.3799899999999923
2021-10-14	Sube	0.39999400000002083
2021-10-15	Sube	0.27000400000000013
2021-10-18	Baja	0.13000500000001125
2021-10-19	Sube	2.9700009999999963
2021-10-20	Baja	0.1999969999999962
2021-10-21	Baja	0.9000090000000114
2021-10-22	Sube	0.660002999999989
2021-10-25	Sube	0.3600010000000111
2021-10-26	Sube	1.1900019999999927
2021-10-27	Baja	1.9399879999999996
2021-10-28	Baja	0.9199979999999925
2021-10-29	Sube	0.5299990000000037
2021-11-01	Baja	0.13999999999998636
2021-11-02	Sube	1.8899990000000173
2021-11-03	Sube	0.020004999999997608
2021-11-04	Baja	0.3399959999999851
2021-11-05	Sube	0.9499969999999962
2021-11-08	Baja	0.8099980000000073
2021-11-09	Baja	0.10000600000000759
2021-11-10	Sube	1.7400049999999965
2021-11-11	Baja	0.43000699999998915
2021-11-12	Baja	2.4199979999999925
2021-11-15	Baja	1.4799959999999999
2021-11-16	Baja	0.5099950000000035
2021-11-17	Sube	0.4100040000000149
2021-11-18	Baja	1.0500030000000038
2021-11-19	Baja	0.14999400000002083
2021-11-22	Baja	1.3300020000000075
2021-11-23	Sube	1.1699979999999925
2021-11-24	Sube	0.10000600000000759
2021-11-26	Baja	1.4000090000000114
2021-11-29	Sube	0.25
2021-11-30	Baja	2.5800020000000075
2021-12-01	Sube	1.1999969999999962
2021-12-02	Baja	0.16999899999999002
2021-12-03	Sube	1.4700010000000248
2021-12-06	Sube	2.75
2021-12-07	Baja	0.6399989999999889
2021-12-08	Sube	0.8699950000000172
2021-12-09	Sube	1.7200009999999963
2021-12-10	Baja	0.08000200000000746
2021-12-13	Sube	3.699996999999996
2021-12-14	Sube	1.9599910000000023
2021-12-15	Sube	1.2899929999999813
2021-12-16	Sube	1.75
2021-12-17	Baja	1.410002999999989
2021-12-20	Baja	0.05999800000000732
2021-12-21	Baja	0.849991000000017
2021-12-22	Sube	0.8699949999999887
2021-12-23	Sube	0.36999499999998875
2021-12-27	Sube	0.5299990000000037
2021-12-28	Sube	0.5600129999999979
2021-12-29	Sube	1.5500030000000038
2021-12-30	Sube	0.19000300000001857
2021-12-31	Baja	1.4599919999999997
2022-01-03	Sube	1.3299860000000194
2022-01-04	Sube	0.020004000000000133
2022-01-05	Sube	0.22000099999999634
2022-01-06	Baja	0.5199889999999812
2022-01-07	Sube	2.489990000000006
2022-01-10	Baja	0.6000059999999792
2022-01-11	Baja	1.7400049999999965
2022-01-12	Sube	0.1799919999999986
2022-01-13	Baja	0.24000499999999647
2022-01-14	Baja	0.7900089999999977
2022-01-18	Estable	0.0
2022-01-19	Baja	0.6199949999999887
2022-01-20	Baja	2.0399930000000097
2022-01-21	Baja	1.320007000000004
2022-01-24	Baja	1.0299990000000037
2022-01-25	Sube	5.270004
2022-01-26	Sube	0.8400120000000015
2022-01-27	Sube	1.1999970000000246
2022-01-28	Sube	0.9299919999999986
2022-01-31	Sube	0.7899930000000097
2022-02-01	Baja	0.8599999999999852
2022-02-02	Sube	3.1200100000000077
2022-02-03	Sube	0.5
2022-02-04	Sube	0.6300050000000113
2022-02-07	Baja	0.35000599999997917
2022-02-08	Sube	0.4899910000000034
2022-02-09	Baja	0.5800020000000075
2022-02-10	Baja	1.7900089999999977
2022-02-11	Baja	1.4099879999999985
2022-02-14	Baja	2.1100009999999827
2022-02-15	Sube	1.179992999999996
2022-02-16	Sube	0.7200019999999938
2022-02-17	Baja	1.0200049999999976
2022-02-18	Baja	1.6199949999999887
2022-02-22	Baja	2.430008000000015
2022-02-23	Baja	0.2899940000000072
2022-02-24	Baja	1.6400000000000148
2022-02-25	Sube	6.0
2022-02-28	Sube	1.7000120000000152
2022-03-01	Sube	0.9600069999999903
2022-03-02	Sube	1.6299890000000232
2022-03-03	Sube	1.7799990000000037
2022-03-04	Sube	1.839997000000011
2022-03-07	Sube	3.9100039999999865
2022-03-08	Baja	3.3199920000000134
2022-03-09	Baja	0.6499939999999924
2022-03-10	Sube	1.1000059999999792
2022-03-11	Sube	0.22000099999999634
2022-03-14	Sube	1.0100089999999966
2022-03-15	Sube	2.8099969999999814
2022-03-16	Baja	0.9400029999999902
2022-03-17	Sube	1.5899960000000135
2022-03-18	Baja	2.1600039999999865
2022-03-21	Sube	1.169998000000021
2022-03-22	Baja	0.8300020000000075
2022-03-23	Baja	0.8899999999999864
2022-03-24	Sube	0.24000499999999647
2022-03-25	Sube	1.2299959999999999
2022-03-28	Sube	1.180008000000015
2022-03-29	Baja	0.8799899999999923
2022-03-30	Sube	1.1499940000000208
2022-03-31	Baja	2.3600000000000136
2022-04-01	Sube	1.1399989999999889
2022-04-04	Baja	1.7200009999999963
2022-04-05	Sube	1.1400000000000148
2022-04-06	Sube	2.839997000000011
2022-04-07	Sube	0.08999700000001098
2022-04-08	Sube	0.7899929999999813
2022-04-11	Baja	3.1600039999999865
2022-04-12	Sube	0.6999969999999962
2022-04-13	Sube	0.7600099999999941
2022-04-14	Baja	0.10000600000000759
2022-04-18	Baja	2.0699920000000134
2022-04-19	Sube	2.360001000000011
2022-04-20	Sube	1.6499939999999924
2022-04-21	Baja	0.569991999999985
2022-04-22	Baja	0.9300079999999866
